name,historical_reference,card_art,rarity,cost,effect,pseudocode,groups,why_fun,balance
"The Calm Voice","Harry Blackstone Sr. evacuated a burning theater by announcing it as an illusion","A magician mid-bow gesturing the audience calmly toward glowing exits","Rare","4","Once per run: when a disaster event or boss effect fires, negate it and convert it into a show — gain fame equal to its severity.","class SkillCalmVoice extends CardModifierSkill:
  func on_mod_triggered(mod) -> void:
    if mod.is_disaster and not run_state().calm_used:
      run_state().calm_used = true
      mod.negate()  # shared negation seam
      run_state().bank_fame(mod.severity * CALM_RATE)","skill;Magician;protection;economy","The catastrophe becomes the encore — the coolest save in the catalog.","One use per run, and you must HAVE him on board when the fire starts."
"Bian Lian","Sichuan face-changing — masks swapped in an instant, method guarded within families","A performer mid-turn, half the face one mask, half already another","Rare","4","Cue: instantly swap this card's rank and suit with any adjacent card's. The game never shows how (no animation, no log entry).","class SkillBianLian extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var n : CardData = cue_adjacent_target()
    game.defer(func():
      var r = data.rank; data.rank = n.rank; n.rank = r
      var s = data.suit; data.suit = n.suit; n.suit = s
      game.register_combo(combo_key()))","skill;Magician;Clown;movement;secret","Pip surgery at cue speed — and the concealment is the flavor.","Adjacent only: the mask reaches exactly one card in each direction."
"Frankenstein","Shelley's creature — assembled from parts, stronger than any donor","Three cards stitched into one tall body with visible thread","Rare","3","On submit, merges with the card above and below it into one 3-card merged stack (summed rank) that stays in the zone after scoring.","class SkillFrankenstein extends CardModifierSkill:
  func on_after_score() -> void:
    game.defer(func():
      var m : CardData = game.merge_cards([card_above(data), data, card_below(data)])
      m.meta.persist_board_clear = true  # survives the clear
      GameData.relink_card_backrefs(m))","skill;Magician;formation;persistence","A monster that outlives the board wipe — you build next show around what it became.","The donors are gone forever; a bad stitch makes a big dumb card."
"The Light and Heavy Chest","Robert-Houdin's electromagnet chest — a child lifts it, a strongman cannot","A small brass-bound chest, one handle gleaming, one handle groaning","Rare","3","This card's weight flips by mover: YOU can always grab it (light), but board effects and hazards cannot move or discard it (heavy).","class SkillChest extends CardModifierSkill:
  func on_can_grab_stack(stack) -> Variant:
    if stack.head() == data and mover_is_player(): return true
    return null
  func on_discard() -> Variant:
    if not mover_is_player(): return DENY  # cancellable on_discard seam
    return null","skill;Magician;movement;protection","The trick is WHO is lifting — mover-dependent physics is a delightful rules joke.","It protects itself, not its column; and it never scores extra."
"Utter Chaos","The chaos clause of the Mystery Box chain","A skill card whose art is repainting itself mid-frame","Rare","3","Becomes a random skill on EVERY Next (deterministic per history hash).","class SkillUtterChaos extends CardModifierSkill:
  func on_next() -> void:
    data.skill = random_skill_hash(run_state(), game.state.game_history_trimmed)
    GameData.relink_card_backrefs(data)
    game.register_combo(combo_key())  # each new face is a fresh first-activation","skill;Magician;random;combo","A slot machine that pulls its own lever every turn — pure variable-ratio candy.","You cannot plan one turn ahead; chaos giveth mid-combo and taketh mid-combo."
"Grand Vanish","Copperfield vanished the Statue of Liberty, 1983","An entire card column missing, its silhouette outlined in stage light","Epic","5","Cue (once per show): hide an entire column — it cannot be seen, targeted, scored, or touched for one turn, then returns with +points on every card ('with interest').","class SkillGrandVanish extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var col : int = cue_target_col()
    game.defer(func(): game.state.vanished[col] = 1)  # turns left, GameData
  func on_next() -> void:
    for col : int in game.state.vanished.keys():
      game.state.vanished.erase(col)
      buff_column(col, INTEREST_PTS)","skill;Magician;protection;formation","Yanking a whole column out of a boss's reach is the biggest dodge in the game.","A vanished column also skips YOUR scoring pass; timing it wrong vanishes your act."
"72 Transformations","Sun Wukong, the Monkey King — Peking opera's trickster acrobat","A staff-wielding monkey mid-shift, seventy-one faint afterimages behind","Epic","6","Wild skill: may transform (copy any spotlit card's skill) on cue; the game counts transformations across the run — at 72, this card ascends (permanently upgrades to Legendary stats).","class Skill72 extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    data.skill = copy_of(cue_target().skill); GameData.relink_card_backrefs(data)
    run_state().wukong_count += 1
    if run_state().wukong_count >= 72: ascend(data)  # profile-permanent","skill;Magician;random;collection;meta","A 72-step collection quest living on one card — the ascension is a career goal.","Each transformation overwrites the last; the count wants variety your run may not offer."
"The Bullet Catch","The trick that killed Chung Ling Soo, 1918 — magic's most fatal illusion","A card catching a musket ball between painted teeth, smoke still crossing the stage","Legendary","7","When scored in the Spotlight: score 10x rank. 1-in-13 chance (seeded) it is destroyed instead.","class SkillBulletCatch extends CardModifierSkill:
  func on_score(result) -> void:
    if hash_roll(game.state.game_history_trimmed, data, 13) == 0:
      game.defer(func(): game.destroy_card(data))  # the trick fails
    else:
      game.add_line_score(row_of(data), 10 * data.rank.value)
      game.register_combo(combo_key())","skill;Magician;gamble;destruction","The purest near-miss thrill in the design — players will tell stories about the night it fired.","Twelve gorgeous catches mean nothing to the thirteenth; it WILL eventually die mid-run."
"Tumbler's Poise","The charge-system exemplar from the notes — one charge, cue or auto-spend","A tumbler frozen in a handstand on one finger, chalk dust hanging","Common","1","1 charge per turn: cue to hop this card one column sideways; an unused charge auto-spends on Next (it tumbles on its own).","class SkillTumbler extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue; charges on GameData
    if game.state.charges.get(data, 0) > 0: hop(data, cue_direction())
  func on_next() -> void:
    if game.state.charges.get(data, 0) > 0: hop(data, auto_direction(data))
    game.state.charges[data] = 1","skill;Acrobat;charges;movement","The charge system's tutorial card — use it or watch it use itself.","Auto-spend can tumble it OUT of the meld you parked it in."
"The Acrobat","Adopted from the §14.5 summary list — grab-while-covered","A lithe figure sliding out from under a stack of heavier cards","Uncommon","2","This card can be grabbed even while covered by other cards (the cards above cascade down one slot).","class SkillAcrobatGrab extends CardModifierSkill:
  # overrides the is_topmost requirement
  func on_can_grab_stack(stack) -> Variant:
    if stack.head() == data: return true  # even if covered
    return null","skill;Acrobat;movement","Rescuing a buried card is the solitaire fantasy — this card rescues itself.","It escapes alone; whatever was stacked above collapses into your problem."
"Diabolo","Kongzhu, the Chinese yo-yo — centuries old, strung between two sticks","A spinning diabolo arcing between two card columns on a taut string","Uncommon","2","Every Next this card alternates between two adjacent columns, granting +points to the top card of each column it leaves.","class SkillDiabolo extends CardModifierSkill:
  func on_next() -> void:
    var from : int = col_of(data)
    game.defer(func():
      buff_top(from, DIABOLO_PTS)
      Board.move_stack(game.state, data, Board.ColumnEnd.new(1, other_col(data))))","skill;Acrobat;movement;combo","A card that commutes — its schedule becomes part of your board clock.","Its column is never stable; runs that include it dissolve every other turn."
"The Leotard","Jules Léotard — invented the flying trapeze AND the garment","A card in a one-piece mid-flight between two swinging bars","Uncommon","2","Cue: move this card and everything above it to the top of any column — legality ignored (the flying trapeze does not ask permission).","class SkillLeotard extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var dest : int = cue_target_col()
    game.defer(func():
      Board.move_stack(game.state, data, Board.ColumnEnd.new(1, dest), false)
      game.register_combo(combo_key()))  # trigger_mods = false: player-style drop","skill;Acrobat;movement","Stack teleportation — it breaks placement law the way trapeze breaks gravity.","It carries its whole stack, wanted or not; the landing column eats everything."
"Colleano's Somersault","Con Colleano — first feet-to-feet forward somersault on the tightwire","A wire-walker flipping forward over his own shadow","Uncommon","2","Cue: this card flips OVER the card covering it — they swap positions (the move considered impossible).","class SkillColleano extends CardModifierSkill:
  # active while covered by exactly one card: needs StampRevealing-style override
  func is_active_override() -> Variant: return covered_by_exactly_one(data)
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    game.defer(func(): game.swap_positions(data, card_above(data)))","skill;Acrobat;movement;spotlight","The buried card that un-buries itself — one flip and the spotlight is yours again.","One card of cover only; a deep burial is still a burial."
"The Wing Walker","Lillian Boyer and Ormer Locklear — barnstorming's wing-to-wing transfers","A figure stepping between two biplanes made of falling cards","Uncommon","2","During the Next-phase drop, this card may transfer mid-air from its input column to an adjacent one (choose on cue before Next).","class SkillWingWalker extends CardModifierSkill:
  func on_cue() -> void: game.state.wing_target[data] = cue_direction()
  func on_next() -> void:
    if game.state.wing_target.has(data):
      redirect_drop(data, game.state.wing_target[data])  # inside TypeInput drop
      game.state.wing_target.erase(data)","skill;Acrobat;movement;deck-manip","Mid-air rerouting — the drop phase stops being fate and starts being flying.","You commit before the draw; the plane you jump to may be the wrong one."
"Hopak Burst","Hopak — the Ukrainian squat-kick dance, explosive and competitive","A dancer mid-kick launching a whole stack of cards upward","Uncommon","2","Cue (1 charge/show): jump this card's entire stack one row upward in its column (everything beneath slides up).","class SkillHopak extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    if game.state.charges.get(data, 0) <= 0: return
    game.state.charges[data] -= 1
    game.defer(func(): game.shift_stack_rows(data, -1))","skill;Acrobat;Dancer;movement;formation","Row math on demand — one kick and the Performance Ring boundary moves for you.","One burst per show; the row above must exist to land in."
"The Dzhigit's Pickup","Cossack dzhigitovka — snatching objects off the ground at full gallop","A rider hanging sideways off a galloping horse, fingertips brushing a card","Uncommon","2","During Next, snatch ONE falling card as it drops and redirect it to any column (chosen live).","class SkillDzhigit extends CardModifierSkill:
  func on_next() -> void:
    if game.state.pickup_armed:  # armed by cue, one per turn
      var falling : CardData = intercept_next_drop()
      redirect_drop(falling, cue_target_col())
      game.register_combo(combo_key())","skill;Acrobat;movement;deck-manip","Catching the draw mid-fall — the single most cinematic interrupt in the game.","One catch, chosen blind: you commit to catching before you see what falls."
"Mallakhamb Pole","Mallakhamb — gymnastics wrapped around the wrestler's pole","A polished wooden pole with performers spiraling up its length","Uncommon","2","While spotlit: every card in this card's column gains +points per row of column height when the column scores.","class SkillMallakhamb extends CardModifierSkill:
  func on_score_col(col : Array[CardData]) -> void:
    game.add_line_score(col_index(col), POLE_PTS * col.size())
    game.register_combo(combo_key())","skill;Acrobat;formation;combo","Makes TALL the strategy — the pole pays you for the game's riskiest shape.","Tall columns bury spotlights; the pole taxes its own activation."
"The Stilt-Walker","Moko jumbies and stilted guardians (concept borrowed generically per the care list)","A card on tall striped stilts, head and shoulders above its stack","Uncommon","2","This card is spotlit even when covered by ONE card (it sees over the head in front).","class SkillStilts extends CardModifierSkill:
  func is_active_override() -> Variant:
    if covers_above(data) <= 1: return true
    return null","skill;Acrobat;spotlight","Half a Revealing stamp on a skill slot — tall builds get one free floor.","The second card of cover still blinds it."
"The Handicap","Maria Spelterini crossed Niagara with peach baskets strapped to her feet","A wire-walker in peach baskets, the falls roaring beneath","Uncommon","2","Cue at show start: voluntarily lock this card's movement for the show (cannot be grabbed); it scores DOUBLE all show.","class SkillHandicap extends CardModifierSkill:
  func on_cue() -> void: game.state.handicapped.append(data)  # per-show, GameData
  func on_can_grab_stack(stack) -> Variant:
    if game.state.handicapped.has(data) and stack.contains(data): return false
    return null
  func on_score(result) -> void:
    if game.state.handicapped.has(data): game.add_line_score(row_of(data), base_points(data))","skill;Acrobat;gamble;protection","Betting on your own placement — declare the crossing, then live with the wire.","Doubled and nailed down: if the board shifts, your star cannot."
"Flagpole Sitter","Shipwreck Kelly — weeks perched on poles above city crowds","A tiny figure atop a flagpole made of one very tall card column","Uncommon","2","Gains +points for each consecutive show it ends as the TOP card of the same column; any move resets the streak.","class SkillFlagpole extends CardModifierSkill:
  func on_game_end() -> void:
    if is_topmost(data) and col_of(data) == run_state().pole_col.get(data, -1):
      run_state().pole_streak[data] += 1
    else: run_state().pole_streak[data] = 0
    run_state().pole_col[data] = col_of(data)
  func on_score(result): game.add_line_score(row_of(data), SIT_PTS * run_state().pole_streak.get(data, 0))","skill;Acrobat;persistence;formation","A multi-show commitment you can SEE growing — the pole gets taller in your head.","A column you can never rebuild; the streak dies to one good reshuffle."
"Human Cannonball","Zazel (1877), then the Zacchini dynasty — the launched performer","A figure blasting out of a cannon, trailing a card-shaped smoke ring","Rare","3","Cue: fire the BOTTOM card of any column to the top of any other column.","class SkillCannonball extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var shot : CardData = bottom_of(cue_source_col())
    game.defer(func():
      Board.move_stack(game.state, shot, Board.ColumnEnd.new(1, cue_target_col()))
      game.register_combo(combo_key()))","skill;Acrobat;movement","Reaching the UNREACHABLE card — the bottom of the stack is the solitaire fantasy.","The shot card arrives on TOP, covering whatever engine was working there."
"Blondin's Crossing","Charles Blondin crossed Niagara on a rope — once carrying his manager","A tightrope strung between two board columns, a whole row inching across","Rare","4","Once per show: shift an ENTIRE row one column left or right, wrapping around the board edge.","class SkillBlondin extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    if game.state.blondin_used: return
    game.state.blondin_used = true
    game.defer(func(): game.rotate_row(cue_row(), cue_direction()))  # Board-level op","skill;Acrobat;movement;formation","The biggest single spatial verb in the game — the whole board takes one step.","Every column's run breaks at once; you fix five problems or cause five."
"The High Dive","Steel Pier's high-diving horses; Sonora Webster kept diving blind","A card plunging from the board's top edge toward a tiny tank","Rare","3","Cue: drop this card from the top of its column to the bottom; score +points per row fallen.","class SkillHighDive extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var fall : int = rows_below(data)
    game.defer(func():
      Board.move_stack(game.state, data, Board.ColumnStart.new(1, col_of(data)))
      game.add_line_score(col_of(data), DIVE_PTS * fall)
      game.register_combo(combo_key()))","skill;Acrobat;movement;gamble","Height converts to points on impact — you build the tower just to jump off it.","It lands at the BOTTOM: buried, dark, and done for the show."
"The Clock Hang","Harold Lloyd dangling from the clock face in Safety Last! (1923)","A card hanging off the board's last column by one bent corner","Rare","3","May be placed half-off the board past the last column: while hanging it is double-spotlit (skill fires twice) — but any board-shift effect drops it (discarded).","class SkillClockHang extends CardModifierSkill:
  func on_can_place_stack(stack, dest) -> Variant:
    if dest.is_edge_overhang() and stack.head() == data: return true
    return null
  func on_mod_triggered(mod) -> void:
    if mod.shifts_board() and is_overhanging(data):
      game.defer(func(): game.discard_card(data))","skill;Acrobat;gamble;spotlight","Living on the ledge — double output while every gust in the design can kill you.","One Blondin, one hazard, one wobble: the street is a long way down."
"The Backward-Backward","May Wirth — the only performer to land the blind backward-backward, horse to horse","A rider somersaulting backward off one galloping card onto another","Rare","3","Cue: reverse the run direction of one column for the rest of the show (descending counts as ascending and vice versa).","class SkillWirth extends CardModifierSkill:
  func on_cue() -> void: game.state.reversed_cols.append(cue_target_col())
  func on_compare_ranks(a, b) -> float:
    if col_of_pip(a) in game.state.reversed_cols: return -PipComparator.numeric(a, b)
    return NAN","skill;Acrobat;movement;combo","Mid-run direction changes rescue columns everyone else writes off.","One column only, and every FUTURE placement there must obey the flipped law."
"The Contortionist","Mongolian uran nugaralt — the world's great contortion lineage","A performer folded impossibly inside a single card-width outline","Rare","4","May fold to SHARE one board slot with another card (two cards, one position; both count in melds).","class SkillContortion extends CardModifierSkill:
  func on_can_place_stack(stack, dest) -> Variant:
    if stack.head() == data and not is_half(dest.top()): return true  # co-slot
    return null
  # Scoring: co-slotted pair both enumerate in row/col melds","skill;Acrobat;formation;movement","A genuinely new spatial verb — six cards in a five-card row.","Six-card 'hands' confuse best-hand evaluation; the fold can dilute a flush."
"The Traceur","Parkour and the Yamakasi — the city as apparatus","A runner vaulting across the tops of five card columns without touching down","Rare","3","This card moves only across the TOPS of columns (never enters stacks): cue to run any distance sideways along topmost slots.","class SkillTraceur extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var dest : int = cue_target_col()
    if all_tops_clear_between(data, dest):
      game.defer(func(): Board.move_stack(game.state, data, Board.OnTop.new(top_of(dest))))","skill;Acrobat;movement","The board as terrain, not slots — freedom of the rooftops.","Always topmost means always first into hoop, knife, and hazard alike."
"The Crowd Surf","Stage diving — trust the crowd or eat the floor","A card passed hand-to-hand across a sea of upturned card faces","Rare","3","Cue: pass this card across the tops of all columns to the far edge, +points per column crossed; if ANY crossed column is empty it drops (discarded).","class SkillCrowdSurf extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    for c : int in cols_between(col_of(data), far_edge()):
      if game.state.is_column_empty(c):
        game.defer(func(): game.discard_card(data)); return
    game.add_line_score(row_of(data), SURF_PTS * cols_crossed(data))","skill;Acrobat;gamble;movement","A risk meter drawn in real board state — you can SEE the gap before you dive.","One empty column anywhere on the route is a funeral."
"The Pyramid","The Moroccan tumbling brotherhoods of Sidi Ahmed ou Moussa — 'Arab tumblers' on every golden-age bill","Six figures in a 3-2-1 human pyramid spanning three columns","Rare","4","Formation meld: when three adjacent columns hold stacks of exactly 3, 2, and 1 cards, the formation scores as a bonus meld (+U).","class SkillPyramid extends CardModifierSkill:
  func on_after_score() -> void:
    for c : int in state.column_count() - 2:
      if heights_are(c, [3, 2, 1]) or heights_are(c, [1, 2, 3]):
        game.add_line_score(c, PYRAMID_PTS)
        game.register_combo(combo_key())","skill;Acrobat;Dancer;formation","Board silhouettes become scoring objects — you sculpt the skyline itself.","Three columns held hostage to a shape that one draw ruins."
"The Triple","The salto mortale — the triple somersault that killed trapezists until Codona mastered it","Three blurred rotations above a net that looks very far away","Epic","5","If this card completes a run of EXACTLY 3 that was fully assembled this turn, that run scores triple.","class SkillTriple extends CardModifierSkill:
  func on_score_col(col : Array[CardData]) -> void:
    var run : Array[CardData] = run_containing(data, col)
    if run.size() == 3 and assembled_this_turn(run, game.state):
      game.add_line_score(col_index(col), 2 * run_points(run))
      game.register_combo(combo_key())","skill;Acrobat;combo;formation","Rewards CONSTRUCTING the trick this turn, not owning it — turn-scoped skill expression.","Exactly three, all placed this turn: hesitation or greed both void the bonus."
"The Courier","Andrew Ducrow's 'Courier of St. Petersburg' — standing astride multiple horses","A rider standing astride two galloping card columns, reins in each hand","Epic","6","While spotlit, this card straddles TWO adjacent columns — it counts as a member of both columns' melds.","class SkillCourier extends CardModifierSkill:
  func on_score_col(col : Array[CardData]) -> void:
    if col_index(col) == col_of(data) + 1:  # the straddled neighbor
      rescore_with(col, data)  # NEEDS NEW HOOK: meld-membership injection
      game.register_combo(combo_key())","skill;Acrobat;formation;combo","The single best spatial legendary available — one body, two acts.","Two columns of exposure, and covering him breaks both saddles at once."
"Flash Mob","Sudden coordinated performance in public space — assembly as the trick","Fifty cards mid-leap from the Entrance onto the board at once","Epic","5","Cue (once per show): deploy your ENTIRE Grand Entrance onto the board in one action (columns chosen left-to-right automatically).","class SkillFlashMob extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    if game.state.flashmob_used: return
    game.state.flashmob_used = true
    game.defer(func():
      for c : CardData in game.state.upper_cards():
        Board.move_stack(game.state, c, Board.ColumnEnd.new(1, auto_col(c))))","skill;Acrobat;movement;formation","The whole crowd hits the floor at once — tempo as spectacle.","Automatic placement: the mob lands where it lands, melds be damned."
"The Seven Pyramid","The Flying Wallendas' seven-person pyramid — collapsed in 1962; the family rebuilt and went on","Seven cards in a trembling three-tier pyramid, wire beneath","Legendary","7","Formation: a single stack of exactly 7 legally-run cards scores a colossal bonus. If the stack is ever broken by a hazard, rebuild it once for double.","class SkillSevenPyramid extends CardModifierSkill:
  func on_score_col(col : Array[CardData]) -> void:
    var s : Array[CardData] = stack_containing(data)
    if s.size() == 7 and is_run(s):
      var mult : int = 2 if run_state().pyramid_rebuilt else 1
      game.add_line_score(col_index(col), SEVEN_BONUS * mult)
      game.register_combo(combo_key())","skill;Acrobat;formation;persistence","The most famous formation in circus history — and the rebuild clause honors why.","Seven legal cards in one tower is the whole show balanced on one column."
"The Puszta Five","The csikós of Hungary — standing astride five galloping horses","A rider standing on five horses abreast, each horse a card column","Legendary","8","Cue (once per show): for one scoring pass this card counts as a member of EVERY column's meld (the Courier's endgame evolution).","class SkillPuszta extends CardModifierSkill:
  func on_cue() -> void: game.state.puszta_armed = true
  func on_score_col(col : Array[CardData]) -> void:
    if game.state.puszta_armed:
      rescore_with(col, data)  # meld-membership injection seam
      game.register_combo(combo_key() + str(col_index(col)))","skill;Acrobat;formation;combo","One card scoring in five melds at once — the board folds around a single rider.","One pass per show, and he must survive uncovered until you call it."
"Klyaksa","Karandash and his dog Klyaksa ('Inkblot') — the USSR's defining clown duo","A small ink-black dog token trotting beside a clown card","Common","1","Comes with a free rank-1 Dog token card (Animal) that shuffles into your deck and follows this card's column when drawn.","class SkillKlyaksa extends CardModifierSkill:
  func on_game_start() -> void:
    if not run_state().klyaksa_minted:
      run_state().klyaksa_minted = true
      game.defer(func(): game.mint_card(TypePaper, RANK_ONE, &'dog_token'))
  func on_next() -> void:
    var dog : CardData = find_token(&'dog_token')
    if dog and col_of(dog) != col_of(data): game.defer(func(): recall(dog, col_of(data)))","skill;Animal Trainer;Clown;token","A pet that follows you around the board — pure charm with a body count of zero.","Two deck slots for one act, and the dog is a rank-1 body."
"Flea Circus","Victorian flea circuses — real fleas, real harnesses","A magnifying glass revealing a tiny big top on a card's back","Common","1","When scored, counts as FIVE cards of rank 1 for combo-counting purposes (U and class counts, not points).","class SkillFleaCircus extends CardModifierSkill:
  func on_score(result) -> void:
    for i : int in 5:
      game.register_combo(combo_key() + str(i))  # five distinct keys","skill;Animal Trainer;combo","Tiny card, huge combo — the joke IS the mechanic.","Zero extra points: it inflates the multiplier and nothing else."
"The Monkey","Sarumawashi — Japanese street monkey performances, a thousand years old","A capuchin in a tiny vest climbing a column of cards","Uncommon","2","Spawns a monkey token that climbs its column one row per Next, cueing whatever card it sits on (free cue).","class SkillSarumawashi extends CardModifierSkill:
  func on_next() -> void:
    game.state.monkey_row[data] = (game.state.monkey_row.get(data, 0) + 1) % col_height(data)
    var host : CardData = card_at_row(col_of(data), game.state.monkey_row[data])
    if host.skill and host.skill.has_method(&'on_cue'):
      host.skill.call(&'on_cue')  # shared cue hook","skill;Animal Trainer;charges;movement","A free finger on the cue button, wandering upward — you build the ladder it climbs.","It cues what it LANDS on, including the card you were saving."
"Liberty Horses","'Liberty' acts — riderless horses forming figures on voice command alone","White horses wheeling in formation, no riders, one raised whip","Uncommon","2","On Next, all Animal-class cards in the Grand Entrance rearrange themselves into ascending rank order before dropping.","class SkillLiberty extends CardModifierSkill:
  func on_next() -> void:
    game.defer(func(): game.sort_entrance_group(&'Animal', ASCENDING))
    game.register_combo(combo_key())","skill;Animal Trainer;deck-manip;formation","Auto-sorting is deeply satisfying — the herd dresses its own line.","Only Animals, only the Entrance: the Ring's chaos is still yours."
"Hungry Hippo","The hippo card from the original TODO list — implemented then gutted","A cavernous pink yawn beneath two tiny greedy eyes","Uncommon","2","Consumes cards dropped onto it, adding their rank to its own (cap 13 total); returns everything eaten at show end.","# PARTIAL: SkillHippo exists, on_card_dropped_on gutted — restore:
class SkillHippo extends CardModifierSkill:
  var eaten : Array[CardData] = []  # holder keeps CardData (weakref rule)
  func on_card_dropped_on(dropped) -> void:
    if data.rank.value >= 13: return
    game.defer(func():
      eaten.append(game.extract_card(dropped))
      data.rank.value = min(13, data.rank.value + dropped.rank.value))
  func on_game_end() -> void:
    for c : CardData in eaten: game.return_to_deck(c)","skill;Animal Trainer;destruction;growth","Feeding the hippo is toddler-grade joy with real board consequences.","Everything fed is off the board till show end; cap 13 arrives fast."
"The Learned Pig","Toby the Sapient Pig — spelled, read minds, told time; Johnson and Byron both remarked","A bespectacled pig tapping a card with one trotter","Uncommon","2","Once per turn: reveals the description/identity of any facedown, hidden, or unknown card (Gaffs stay smug but their text shows).","class SkillLearnedPig extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    if game.state.pig_used: return
    game.state.pig_used = true
    if game.view: game.view.reveal_text(cue_target())  # info only, data untouched","skill;Animal Trainer;info","The counter-intelligence pet — Gaff economies stop working on you.","Pure information: the pig never adds a point."
"Clever Hans","Clever Hans, the counting horse — actually reading his questioner's body language","A horse tapping a hoof, eyes locked sideways on its neighbor","Uncommon","2","Appears to calculate: counts as a copy of its highest adjacent neighbor's rank. If it ever has no neighbors, it is revealed as rank 1.","class SkillCleverHans extends CardModifierSkill:
  func on_compare_ranks(a, b) -> float:
    if a != data: return NAN
    var n : CardData = highest_neighbor(data)
    return PipComparator.numeric_of(n.rank if n else RANK_ONE, b)","skill;Animal Trainer;formation;secret","A fraud that works exactly as long as the audience stands close — placement as kayfabe.","Isolate him once and the whole act collapses to a 1."
"The Gentled Beast","Carl Hagenbeck's reward-based training — kindness made the cage obsolete","A great cat leaning into an open palm, no bars anywhere","Uncommon","2","Alternative to eating: cards dropped on this card are not consumed but BEFRIENDED (returned to the column below it); each friend permanently +1 this card's score bonus.","class SkillGentled extends CardModifierSkill:
  func on_card_dropped_on(dropped) -> void:
    run_state().gentled_count[data] = run_state().gentled_count.get(data, 0) + 1
    game.defer(func(): Board.move_stack(game.state, dropped, Board.ColumnStart.new(1, col_of(data))))
  func on_score(result) -> void:
    game.add_line_score(row_of(data), GENTLE_PTS * run_state().gentled_count.get(data, 0))","skill;Animal Trainer;growth;protection","The ethical fork of the eating mechanic — kindness is mechanically superior, on purpose.","Slower than Gluttony and the friends still occupy board slots."
"The Lion Dance","Chinese lion dance — two performers inside one lion, plucking the greens","A festival lion rearing, two pairs of shoes visible beneath the fringe","Rare","3","Secretly TWO cards: when destroyed, it splits into two rank-half performers instead of dying. Placing it on a card 'plucks the greens': harvest +points from the card beneath.","class SkillLionDance extends CardModifierSkill:
  func on_mod_triggered(mod) -> void:
    if mod is DestructionEffect and mod.target == data:
      mod.negate()  # shared negation seam
      game.defer(func(): game.split_card(data, half_up(data), half_down(data)))
  func on_stack_cards(stack) -> void:
    if card_below(data): game.add_line_score(row_of(data), GREENS_PTS)","skill;Animal Trainer;Dancer;destruction;secret","The kill shot that becomes two performers taking a bow — the reveal never gets old.","The halves are half-rank bodies; surviving is not the same as thriving."
"Mabel's Tigers","Mabel Stark — working big cats bare-handed into her seventies","A woman in white leathers, one glove resting on a tiger's head","Rare","3","Consumes cards dropped on it like Gluttony — but ONLY prop (skill-less) cards; +1 rank per meal, no cap, permanent.","class SkillMabelsTigers extends CardModifierSkill:
  func on_card_dropped_on(dropped) -> void:
    if dropped.skill: return  # tigers respect feats
    game.defer(func():
      game.destroy_card(dropped)  # permanent: deck thinning
      data.rank.value += 1)","skill;Animal Trainer;destruction;growth","A curated Gluttony that eats your chaff and respects your talent — deck thinning with teeth.","It only ever grows off junk; a lean deck starves the cats."
"The Unicorn","Menagerie 'unicorns' — a one-horned rhino billed as legend","A rhinoceros in profile, horn gilded, poster overhead screaming UNICORN","Rare","3","Animal Gaff: scores as a Legendary (5x base) until any inspection effect examines it — then it is revealed (rhino) and scores half forever.","class SkillUnicorn extends CardModifierSkill:
  func on_score(result) -> void:
    var mult : float = 0.5 if run_state().unicorn_exposed else 5.0
    game.add_line_score(row_of(data), mult * base_points(data))
  func on_mod_triggered(mod) -> void:
    if mod is InspectionEffect and mod.targets(data): run_state().unicorn_exposed = true","skill;Animal Trainer;gamble;secret","Riding the bluff show after show — every Prepared Town is a held breath.","One inspection converts your headliner into a permanent rhino."
"The Lion's Bride","The menagerie's caged-beauty tableaus — beauty seated among the beasts","A serene figure seated in a cage, a lion's head heavy in her lap","Rare","3","Scores bonus points every act it shares a column with a consuming Animal card (Tigers, Gluttony, Hippo) without being eaten.","class SkillLionsBride extends CardModifierSkill:
  func on_after_score() -> void:
    if column_has_eater(col_of(data)):
      game.add_line_score(col_of(data), BRIDE_PTS)
      game.register_combo(combo_key())","skill;Animal Trainer;gamble;formation","Points for proximity to your own monsters — the cage door is the thrill.","One careless drop and your bride is hippo food."
